epoch,loss,mae,val_loss,val_mae
0,0.1810947060585022,0.1810947060585022,0.1879555583000183,0.1879555583000183
1,0.12234972417354584,0.12234972417354584,0.1818503886461258,0.181850403547287
2,0.11540651321411133,0.11540652811527252,0.1833237111568451,0.1833237111568451
3,0.10891278833150864,0.10891278833150864,0.1620383858680725,0.1620383858680725
4,0.10586964339017868,0.10586964339017868,0.14373555779457092,0.14373555779457092
5,0.10442277789115906,0.10442277789115906,0.167083740234375,0.167083740234375
6,0.10181006789207458,0.10181006789207458,0.1794189214706421,0.1794189214706421
7,0.10148102045059204,0.10148102045059204,0.185674786567688,0.185674786567688
8,0.09846227616071701,0.09846227616071701,0.1733679473400116,0.1733679473400116
9,0.0989704430103302,0.0989704430103302,0.18118226528167725,0.18118226528167725
10,0.09360740333795547,0.09360740333795547,0.17081235349178314,0.17081236839294434
11,0.09178195148706436,0.09178195148706436,0.18056128919124603,0.18056128919124603
12,0.09171487390995026,0.09171487390995026,0.1796111911535263,0.1796111911535263
13,0.09244447946548462,0.09244447946548462,0.194032683968544,0.194032683968544
14,0.09119049459695816,0.09119049459695816,0.20848648250102997,0.20848648250102997
15,0.08810372650623322,0.08810372650623322,0.20784245431423187,0.20784245431423187
16,0.08714491873979568,0.08714491873979568,0.1764480471611023,0.1764480471611023
17,0.08661159873008728,0.08661159873008728,0.19398926198482513,0.19398926198482513
18,0.0866447389125824,0.0866447314620018,0.19096985459327698,0.19096985459327698
19,0.08788945525884628,0.08788945525884628,0.1999777853488922,0.1999777853488922
20,0.0861673653125763,0.0861673653125763,0.18904565274715424,0.18904565274715424
21,0.08506505936384201,0.08506505936384201,0.18101270496845245,0.18101270496845245
22,0.08499372005462646,0.08499372005462646,0.1922513246536255,0.1922513246536255
23,0.08541741967201233,0.08541741222143173,0.18769420683383942,0.18769420683383942
24,0.08489292860031128,0.08489292860031128,0.19173787534236908,0.19173787534236908
25,0.08399973809719086,0.08399973809719086,0.19082918763160706,0.19082917273044586
26,0.08502205461263657,0.08502205461263657,0.19658109545707703,0.19658109545707703
27,0.08355138450860977,0.08355138450860977,0.20051641762256622,0.20051641762256622
28,0.08409220725297928,0.08409220725297928,0.18810303509235382,0.18810303509235382
29,0.08388160169124603,0.08388160169124603,0.1887180358171463,0.1887180507183075
30,0.08455124497413635,0.08455124497413635,0.1926003098487854,0.1926003098487854
31,0.08384830504655838,0.08384830504655838,0.19507434964179993,0.19507434964179993
32,0.08358713984489441,0.08358713984489441,0.1886867880821228,0.1886867880821228
33,0.08367859572172165,0.08367859572172165,0.19502092897891998,0.1950208991765976
34,0.08368117362260818,0.08368117362260818,0.19619861245155334,0.19619861245155334
35,0.08339174091815948,0.08339174091815948,0.1944911628961563,0.1944911628961563
36,0.08278016000986099,0.08278016000986099,0.19204553961753845,0.19204553961753845
37,0.0824870765209198,0.0824870765209198,0.18941910564899445,0.18941910564899445
38,0.08361374586820602,0.08361374586820602,0.19069816172122955,0.19069816172122955
39,0.08336298912763596,0.08336298912763596,0.19221524894237518,0.19221527874469757
40,0.08249175548553467,0.08249175548553467,0.19058459997177124,0.19058459997177124
41,0.08362631499767303,0.08362631499767303,0.19079676270484924,0.19079676270484924
42,0.08363889157772064,0.08363889157772064,0.1907786726951599,0.1907786726951599
43,0.08324284106492996,0.08324284106492996,0.1924540251493454,0.1924540251493454
44,0.08323505520820618,0.08323505520820618,0.19281774759292603,0.19281774759292603
45,0.08323172479867935,0.08323172479867935,0.19330793619155884,0.19330793619155884
46,0.08296604454517365,0.08296604454517365,0.19235393404960632,0.19235393404960632
47,0.0831030011177063,0.0831030011177063,0.19313722848892212,0.1931372582912445
48,0.08273628354072571,0.08273628354072571,0.19198831915855408,0.19198833405971527
49,0.08283688127994537,0.08283688127994537,0.19190847873687744,0.19190847873687744
50,0.08288463950157166,0.08288463950157166,0.19199566543102264,0.19199566543102264
51,0.0831209346652031,0.0831209346652031,0.19156824052333832,0.19156824052333832
52,0.08324377238750458,0.08324377238750458,0.19323812425136566,0.19323812425136566
