epoch,loss,mae,mse,val_loss,val_mae,val_mse
0,0.16418011486530304,0.16418011486530304,0.10747336596250534,0.21085725724697113,0.21085725724697113,0.17357149720191956
1,0.13572493195533752,0.13572493195533752,0.08827515691518784,0.10579408705234528,0.10579408705234528,0.03378673642873764
2,0.1324760615825653,0.1324760615825653,0.06768201291561127,0.1746184378862381,0.1746184378862381,0.08869751542806625
3,0.13340619206428528,0.13340619206428528,0.06897508352994919,0.1709529012441635,0.1709529012441635,0.10978033393621445
4,0.13026966154575348,0.13026966154575348,0.059275705367326736,0.18860439956188202,0.18860439956188202,0.13624945282936096
5,0.1280936747789383,0.1280936747789383,0.05653828755021095,0.18165327608585358,0.18165327608585358,0.1295652538537979
6,0.13108856976032257,0.13108856976032257,0.0658503845334053,0.1385744959115982,0.1385744959115982,0.05991612374782562
7,0.11747966706752777,0.11747966706752777,0.05104793235659599,0.12692144513130188,0.12692144513130188,0.05832649767398834
8,0.11538907885551453,0.11538907885551453,0.04703338444232941,0.14093764126300812,0.14093764126300812,0.06836599856615067
9,0.11435901373624802,0.11435901373624802,0.045746173709630966,0.16620886325836182,0.16620886325836182,0.08957774937152863
10,0.11268560588359833,0.11268560588359833,0.04437487572431564,0.15619125962257385,0.15619125962257385,0.07973215728998184
11,0.11240966618061066,0.11240966618061066,0.04594108462333679,0.16999785602092743,0.16999785602092743,0.09918836504220963
12,0.10539371520280838,0.10539371520280838,0.04110026732087135,0.15245838463306427,0.15245838463306427,0.07780900597572327
13,0.10374096035957336,0.10374096035957336,0.03880404680967331,0.1416059136390686,0.1416059136390686,0.06693898141384125
14,0.10370983928442001,0.10370983928442001,0.03905727341771126,0.1660102903842926,0.1660102903842926,0.09881499409675598
15,0.10287302732467651,0.10287302732467651,0.04056797921657562,0.16109484434127808,0.16109484434127808,0.08863933384418488
16,0.10382939875125885,0.10382939875125885,0.04239397495985031,0.15678223967552185,0.15678223967552185,0.08921791613101959
17,0.09994952380657196,0.09994952380657196,0.03740628436207771,0.15839783847332,0.15839783847332,0.0904347226023674
18,0.09956947714090347,0.09956947714090347,0.03678268566727638,0.16420882940292358,0.16420882940292358,0.0939561054110527
19,0.09873416274785995,0.09873416274785995,0.036339402198791504,0.1459774225950241,0.1459774225950241,0.07484342902898788
