epoch,accuracy,auc,false_negatives,false_positives,loss,precision,recall,true_negatives,val_accuracy,val_auc,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives
18,0.7112500071525574,0.759108304977417,122.0,109.0,0.5864009857177734,0.7161458134651184,0.6926952004432678,294.0,0.6869999766349792,0.7652601003646851,183.0,130.0,0.5782484412193298,0.709172248840332,0.6340000033378601,370.0
19,0.6737499833106995,0.7411107420921326,135.0,126.0,0.6018482446670532,0.6904177069664001,0.6754807829856873,258.0,0.7009999752044678,0.7703740000724792,159.0,140.0,0.5754437446594238,0.7089397311210632,0.6819999814033508,360.0
20,0.6875,0.7481447458267212,140.0,110.0,0.6035120487213135,0.6969696879386902,0.643765926361084,297.0,0.6809999942779541,0.7755600214004517,99.0,220.0,0.5835317373275757,0.6457327008247375,0.8019999861717224,280.0
21,0.6487500071525574,0.7236212491989136,159.0,122.0,0.6248612403869629,0.6620498895645142,0.6005024909973145,280.0,0.6930000185966492,0.7664399743080139,157.0,150.0,0.5748414993286133,0.6957403421401978,0.6859999895095825,350.0
22,0.6825000047683716,0.7572672963142395,140.0,114.0,0.5910604596138,0.6902173757553101,0.6446700692176819,292.0,0.6990000009536743,0.7907599210739136,216.0,85.0,0.5632984638214111,0.7696477174758911,0.5680000185966492,415.0
23,0.675000011920929,0.7266495227813721,145.0,115.0,0.6145952343940735,0.679665744304657,0.6272493600845337,296.0,0.6959999799728394,0.7839239835739136,83.0,221.0,0.5686521530151367,0.653605043888092,0.8339999914169312,279.0
24,0.6937500238418579,0.7473799586296082,112.0,133.0,0.594088613986969,0.6977272629737854,0.7326968908309937,248.0,0.6830000281333923,0.7977999448776245,270.0,47.0,0.6035553812980652,0.8303248882293701,0.46000000834465027,453.0
25,0.6524999737739563,0.7228665351867676,159.0,119.0,0.6042118668556213,0.6499999761581421,0.5815789699554443,301.0,0.6919999718666077,0.7671979665756226,141.0,167.0,0.5974529981613159,0.6825094819068909,0.7179999947547913,333.0
26,0.6875,0.7385147213935852,121.0,129.0,0.6160626411437988,0.6921241283416748,0.7055960893630981,260.0,0.7099999785423279,0.7921879291534424,133.0,157.0,0.5461946725845337,0.7003816962242126,0.734000027179718,343.0
27,0.7200000286102295,0.7780311703681946,131.0,93.0,0.5725956559181213,0.732758641242981,0.6606217622756958,321.0,0.7170000076293945,0.7806819677352905,226.0,57.0,0.6090449094772339,0.8277945518493652,0.5479999780654907,443.0
28,0.6800000071525574,0.7526752352714539,132.0,124.0,0.5899573564529419,0.6804123520851135,0.6666666865348816,280.0,0.7300000190734863,0.806812047958374,150.0,120.0,0.532609760761261,0.7446808218955994,0.699999988079071,380.0
29,0.7112500071525574,0.7782122492790222,121.0,110.0,0.5715384483337402,0.720812201499939,0.7012345790863037,285.0,0.7170000076293945,0.7928419709205627,140.0,143.0,0.5545688271522522,0.7157057523727417,0.7200000286102295,357.0
