epoch,accuracy,auc,false_negatives,false_positives,loss,precision,recall,true_negatives,val_accuracy,val_auc,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives
0,0.5024999976158142,0.49454736709594727,127.0,271.0,0.8195436596870422,0.5134649872779846,0.6924939751625061,116.0,0.5699999928474426,0.6049280166625977,127.0,303.0,0.6883439421653748,0.5517751574516296,0.7459999918937683,197.0
1,0.5024999976158142,0.4934958517551422,247.0,151.0,0.7014576196670532,0.4949832856655121,0.37468355894088745,254.0,0.5690000057220459,0.6075359582901001,295.0,136.0,0.6893553733825684,0.6011730432510376,0.4099999964237213,364.0
2,0.5724999904632568,0.5848360657691956,194.0,148.0,0.6922554969787598,0.5945205688476562,0.5279805064201355,241.0,0.49900001287460327,0.5615699887275696,500.0,1.0,0.850724458694458,0.0,0.0,499.0
3,0.5587499737739563,0.5670204758644104,146.0,207.0,0.6936320662498474,0.557692289352417,0.6412776708602905,186.0,0.6000000238418579,0.6640879511833191,103.0,297.0,0.669394850730896,0.5720461010932922,0.7940000295639038,203.0
4,0.5950000286102295,0.6066651344299316,131.0,193.0,0.6881985664367676,0.5840517282485962,0.6741293668746948,205.0,0.5180000066757202,0.6721460223197937,7.0,475.0,0.7796832323074341,0.5092975497245789,0.9860000014305115,25.0
5,0.5375000238418579,0.5519676208496094,206.0,164.0,0.6982181668281555,0.5469613075256348,0.4900990128517151,232.0,0.5950000286102295,0.6619759798049927,100.0,305.0,0.6681889891624451,0.567375898361206,0.800000011920929,195.0
6,0.581250011920929,0.6181410551071167,162.0,173.0,0.6799488067626953,0.5880952477455139,0.6039119958877563,218.0,0.5730000138282776,0.6904199719429016,44.0,383.0,0.6731223464012146,0.5435041785240173,0.9120000004768372,117.0
7,0.6299999952316284,0.6558133363723755,167.0,129.0,0.6663410663604736,0.6366197466850281,0.5750635862350464,278.0,0.5709999799728394,0.6617640256881714,403.0,26.0,0.6692926287651062,0.7886179089546204,0.1940000057220459,474.0
8,0.612500011920929,0.6556586623191833,176.0,134.0,0.6561050415039062,0.620396614074707,0.554430365562439,271.0,0.6330000162124634,0.6812379956245422,231.0,136.0,0.6452363729476929,0.6641975045204163,0.5379999876022339,364.0
9,0.6212499737739563,0.6555936932563782,140.0,163.0,0.6630973219871521,0.6385809183120728,0.672897219657898,209.0,0.609000027179718,0.7183060646057129,33.0,358.0,0.66749107837677,0.5660606026649475,0.9340000152587891,142.0
10,0.6237499713897705,0.6606478095054626,159.0,142.0,0.6661349534988403,0.6311688423156738,0.60447758436203,256.0,0.6549999713897705,0.7201300263404846,195.0,150.0,0.6145548820495605,0.6703296899795532,0.6100000143051147,350.0
11,0.6324999928474426,0.6599328517913818,168.0,126.0,0.6761874556541443,0.6420454382896423,0.5736040472984314,280.0,0.6710000038146973,0.7389879822731018,175.0,154.0,0.60606449842453,0.6784968972206116,0.6499999761581421,346.0
12,0.6537500023841858,0.7038165926933289,155.0,122.0,0.6429645419120789,0.6573033928871155,0.6015424132347107,289.0,0.6610000133514404,0.732978105545044,212.0,127.0,0.6077429056167603,0.6939759254455566,0.5759999752044678,373.0
13,0.637499988079071,0.6973953247070312,145.0,145.0,0.6369214057922363,0.6282051205635071,0.6282051205635071,265.0,0.6200000047683716,0.7178219556808472,65.0,315.0,0.6611543893814087,0.5799999833106995,0.8700000047683716,185.0
14,0.6737499833106995,0.7206422090530396,138.0,123.0,0.6248640418052673,0.6962962746620178,0.6714285612106323,257.0,0.6639999747276306,0.7404260039329529,93.0,243.0,0.6113517880439758,0.626153826713562,0.8140000104904175,257.0
15,0.6662499904632568,0.7222680449485779,133.0,134.0,0.6212055683135986,0.664160430431366,0.6658291220664978,268.0,0.6520000100135803,0.7359239459037781,68.0,280.0,0.6254359483718872,0.6067415475845337,0.8640000224113464,220.0
16,0.6987500190734863,0.7513682246208191,117.0,124.0,0.6041519045829773,0.6868686676025391,0.6992287635803223,287.0,0.7070000171661377,0.7679679989814758,145.0,148.0,0.5779379606246948,0.705765426158905,0.7099999785423279,352.0
17,0.6625000238418579,0.7195068597793579,137.0,133.0,0.6127853393554688,0.6748166084289551,0.6682808995246887,254.0,0.7020000219345093,0.7701399922370911,145.0,153.0,0.5815984606742859,0.6988189220428467,0.7099999785423279,347.0
