epoch,accuracy,loss,val_accuracy,val_loss
0,0.47200000286102295,0.8220688104629517,0.5,0.6928364634513855
1,0.515999972820282,0.689921498298645,0.5360000133514404,0.6909610033035278
2,0.5360000133514404,0.6935650110244751,0.5,0.6852571964263916
3,0.5640000104904175,0.68311607837677,0.503000020980835,0.6871838569641113
4,0.5239999890327454,0.6855978965759277,0.5149999856948853,0.6922923922538757
5,0.6000000238418579,0.6789142489433289,0.6069999933242798,0.6760236620903015
6,0.5839999914169312,0.6713370680809021,0.5879999995231628,0.6696265339851379
7,0.656000018119812,0.6533488631248474,0.5170000195503235,0.7329373359680176
8,0.6520000100135803,0.6300866007804871,0.6069999933242798,0.6970886588096619
9,0.6959999799728394,0.6131507158279419,0.6259999871253967,0.6712796688079834
10,0.6439999938011169,0.6352936625480652,0.6000000238418579,0.6655142307281494
11,0.6959999799728394,0.5952309966087341,0.6029999852180481,0.6985235214233398
12,0.7080000042915344,0.5737412571907043,0.621999979019165,0.6680160164833069
13,0.7360000014305115,0.5297390222549438,0.5830000042915344,0.8672436475753784
14,0.6840000152587891,0.5833616852760315,0.6179999709129333,0.7001792788505554
15,0.7200000286102295,0.5518842935562134,0.6520000100135803,0.6611726880073547
16,0.7599999904632568,0.5591824054718018,0.6779999732971191,0.6331577301025391
17,0.7200000286102295,0.5445230603218079,0.6769999861717224,0.6311097145080566
18,0.7720000147819519,0.541175901889801,0.5910000205039978,0.7270928025245667
19,0.7039999961853027,0.5509966015815735,0.5709999799728394,0.7899889349937439
20,0.7720000147819519,0.48096388578414917,0.6520000100135803,0.6646503806114197
21,0.7720000147819519,0.44874975085258484,0.6539999842643738,0.6869866847991943
22,0.8119999766349792,0.4347149431705475,0.6779999732971191,0.6645021438598633
23,0.8040000200271606,0.44222602248191833,0.6679999828338623,0.6472107768058777
24,0.8119999766349792,0.4316723048686981,0.6539999842643738,0.7100617289543152
