epoch,accuracy,auc,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_accuracy,val_auc,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.5274999737739563,0.5466312170028687,189.0,189.0,1.8471500873565674,0.5274999737739563,0.5274999737739563,211.0,211.0,0.5,0.5112532377243042,1000.0,1000.0,4.1550211906433105,0.5,0.5,1000.0,1000.0
1,0.5874999761581421,0.6054156422615051,165.0,165.0,1.1141197681427002,0.5874999761581421,0.5874999761581421,235.0,235.0,0.5,0.5,1000.0,1000.0,7.835426330566406,0.5,0.5,1000.0,1000.0
2,0.6100000143051147,0.6371562480926514,156.0,156.0,0.9530356526374817,0.6100000143051147,0.6100000143051147,244.0,244.0,0.5,0.5,1000.0,1000.0,8.299633026123047,0.5,0.5,1000.0,1000.0
3,0.5649999976158142,0.6161468625068665,174.0,174.0,0.8937979340553284,0.5649999976158142,0.5649999976158142,226.0,226.0,0.5,0.500249981880188,1000.0,1000.0,10.967713356018066,0.5,0.5,1000.0,1000.0
4,0.5874999761581421,0.6304250359535217,165.0,165.0,0.8431015610694885,0.5874999761581421,0.5874999761581421,235.0,235.0,0.5,0.5,1000.0,1000.0,11.37144947052002,0.5,0.5,1000.0,1000.0
5,0.5724999904632568,0.5903500318527222,171.0,171.0,0.9035451412200928,0.5724999904632568,0.5724999904632568,229.0,229.0,0.5,0.5,1000.0,1000.0,11.133589744567871,0.5,0.5,1000.0,1000.0
6,0.5674999952316284,0.610671877861023,173.0,173.0,0.8909324407577515,0.5674999952316284,0.5674999952316284,227.0,227.0,0.5,0.500249981880188,1000.0,1000.0,5.92502498626709,0.5,0.5,1000.0,1000.0
7,0.5649999976158142,0.6194499731063843,174.0,174.0,0.8755925893783569,0.5649999976158142,0.5649999976158142,226.0,226.0,0.5084999799728394,0.5526474714279175,983.0,983.0,1.6320456266403198,0.5084999799728394,0.5084999799728394,1017.0,1017.0
8,0.6175000071525574,0.6568374633789062,153.0,153.0,0.8036795258522034,0.6175000071525574,0.6175000071525574,247.0,247.0,0.5,0.5012500286102295,1000.0,1000.0,4.595000267028809,0.5,0.5,1000.0,1000.0
9,0.6299999952316284,0.6604781746864319,148.0,148.0,0.8345206379890442,0.6299999952316284,0.6299999952316284,252.0,252.0,0.5,0.500249981880188,1000.0,1000.0,4.340917587280273,0.5,0.5,1000.0,1000.0
10,0.6000000238418579,0.6484531164169312,160.0,160.0,0.8264487981796265,0.6000000238418579,0.6000000238418579,240.0,240.0,0.5,0.5047499537467957,1000.0,1000.0,2.8488593101501465,0.5,0.5,1000.0,1000.0
11,0.6100000143051147,0.6363062858581543,156.0,156.0,0.8032430410385132,0.6100000143051147,0.6100000143051147,244.0,244.0,0.5024999976158142,0.5052002668380737,995.0,995.0,0.9750580787658691,0.5024999976158142,0.5024999976158142,1005.0,1005.0
12,0.6449999809265137,0.6792656183242798,142.0,142.0,0.7626333832740784,0.6449999809265137,0.6449999809265137,258.0,258.0,0.5084999799728394,0.49956879019737244,983.0,983.0,1.3969312906265259,0.5084999799728394,0.5084999799728394,1017.0,1017.0
13,0.6100000143051147,0.6446530818939209,156.0,156.0,0.7939403653144836,0.6100000143051147,0.6100000143051147,244.0,244.0,0.515500009059906,0.5285663604736328,969.0,969.0,1.0263422727584839,0.515500009059906,0.515500009059906,1031.0,1031.0
14,0.6225000023841858,0.6644719243049622,151.0,151.0,0.7574024796485901,0.6225000023841858,0.6225000023841858,249.0,249.0,0.5115000009536743,0.5326943397521973,977.0,977.0,1.1672738790512085,0.5115000009536743,0.5115000009536743,1023.0,1023.0
15,0.6175000071525574,0.6615281105041504,153.0,153.0,0.7773840427398682,0.6175000071525574,0.6175000071525574,247.0,247.0,0.5249999761581421,0.5501440167427063,950.0,950.0,0.931945264339447,0.5249999761581421,0.5249999761581421,1050.0,1050.0
16,0.6299999952316284,0.6665124297142029,148.0,148.0,0.7433393001556396,0.6299999952316284,0.6299999952316284,252.0,252.0,0.5404999852180481,0.5643985867500305,919.0,919.0,0.8651937246322632,0.5404999852180481,0.5404999852180481,1081.0,1081.0
17,0.6399999856948853,0.6608718633651733,144.0,144.0,0.7460185885429382,0.6399999856948853,0.6399999856948853,256.0,256.0,0.5320000052452087,0.5596993565559387,936.0,936.0,0.917616605758667,0.5320000052452087,0.5320000052452087,1064.0,1064.0
18,0.6499999761581421,0.7114687561988831,140.0,140.0,0.6918540000915527,0.6499999761581421,0.6499999761581421,260.0,260.0,0.534500002861023,0.577774703502655,931.0,931.0,0.9170041084289551,0.534500002861023,0.534500002861023,1069.0,1069.0
19,0.612500011920929,0.6672656536102295,155.0,155.0,0.7524005174636841,0.612500011920929,0.612500011920929,245.0,245.0,0.5895000100135803,0.6259369850158691,821.0,821.0,0.7258179187774658,0.5895000100135803,0.5895000100135803,1179.0,1179.0
20,0.6424999833106995,0.685325026512146,143.0,143.0,0.7215926647186279,0.6424999833106995,0.6424999833106995,257.0,257.0,0.5515000224113464,0.5838238596916199,897.0,897.0,0.926413357257843,0.5515000224113464,0.5515000224113464,1103.0,1103.0
21,0.6200000047683716,0.6762718558311462,152.0,152.0,0.7365783452987671,0.6200000047683716,0.6200000047683716,248.0,248.0,0.6359999775886536,0.6771265864372253,728.0,728.0,0.6611871123313904,0.6359999775886536,0.6359999775886536,1272.0,1272.0
22,0.6399999856948853,0.7066156268119812,144.0,144.0,0.6873815655708313,0.6399999856948853,0.6399999856948853,256.0,256.0,0.6085000038146973,0.6553468704223633,783.0,783.0,0.6826689839363098,0.6085000038146973,0.6085000038146973,1217.0,1217.0
23,0.6499999761581421,0.7072968482971191,140.0,140.0,0.692666232585907,0.6499999761581421,0.6499999761581421,260.0,260.0,0.6134999990463257,0.6598774790763855,773.0,773.0,0.702560305595398,0.6134999990463257,0.6134999990463257,1227.0,1227.0
24,0.6600000262260437,0.7240656614303589,136.0,136.0,0.6665381789207458,0.6600000262260437,0.6600000262260437,264.0,264.0,0.6474999785423279,0.7000105977058411,705.0,705.0,0.6537379622459412,0.6474999785423279,0.6474999785423279,1295.0,1295.0
25,0.6449999809265137,0.7013031244277954,142.0,142.0,0.6936471462249756,0.6449999809265137,0.6449999809265137,258.0,258.0,0.671999990940094,0.7159735560417175,656.0,656.0,0.6428165435791016,0.671999990940094,0.671999990940094,1344.0,1344.0
26,0.6274999976158142,0.69273442029953,149.0,149.0,0.7092991471290588,0.6274999976158142,0.6274999976158142,251.0,251.0,0.640999972820282,0.6957118511199951,718.0,718.0,0.6826180815696716,0.640999972820282,0.640999972820282,1282.0,1282.0
27,0.637499988079071,0.675184428691864,145.0,145.0,0.7252530455589294,0.637499988079071,0.637499988079071,255.0,255.0,0.6784999966621399,0.7437514662742615,643.0,643.0,0.6096087098121643,0.6784999966621399,0.6784999966621399,1357.0,1357.0
28,0.6424999833106995,0.721271812915802,143.0,143.0,0.6827913522720337,0.6424999833106995,0.6424999833106995,257.0,257.0,0.671500027179718,0.7271907925605774,657.0,657.0,0.6426966786384583,0.671500027179718,0.671500027179718,1343.0,1343.0
29,0.6399999856948853,0.7007467746734619,144.0,144.0,0.6810092329978943,0.6399999856948853,0.6399999856948853,256.0,256.0,0.6930000185966492,0.748495876789093,614.0,614.0,0.6064800024032593,0.6930000185966492,0.6930000185966492,1386.0,1386.0
30,0.6575000286102295,0.726534366607666,137.0,137.0,0.6668712496757507,0.6575000286102295,0.6575000286102295,263.0,263.0,0.6875,0.7563877701759338,625.0,625.0,0.5986459851264954,0.6875,0.6875,1375.0,1375.0
31,0.6800000071525574,0.7400781512260437,128.0,128.0,0.6433197855949402,0.6800000071525574,0.6800000071525574,272.0,272.0,0.6995000243186951,0.753750741481781,601.0,601.0,0.6058124303817749,0.6995000243186951,0.6995000243186951,1399.0,1399.0
32,0.6399999856948853,0.7048280239105225,144.0,144.0,0.688197910785675,0.6399999856948853,0.6399999856948853,256.0,256.0,0.6859999895095825,0.7454805970191956,628.0,628.0,0.6092878580093384,0.6859999895095825,0.6859999895095825,1372.0,1372.0
33,0.6650000214576721,0.7272875905036926,134.0,134.0,0.6543371081352234,0.6650000214576721,0.6650000214576721,266.0,266.0,0.6800000071525574,0.7431984543800354,640.0,640.0,0.6257590651512146,0.6800000071525574,0.6800000071525574,1360.0,1360.0
34,0.6725000143051147,0.7353843450546265,131.0,131.0,0.6636490821838379,0.6725000143051147,0.6725000143051147,269.0,269.0,0.6800000071525574,0.7424677610397339,640.0,640.0,0.6254173517227173,0.6800000071525574,0.6800000071525574,1360.0,1360.0
35,0.6399999856948853,0.7155312299728394,144.0,144.0,0.6778221726417542,0.6399999856948853,0.6399999856948853,256.0,256.0,0.6759999990463257,0.7360438108444214,648.0,648.0,0.6389402151107788,0.6759999990463257,0.6759999990463257,1352.0,1352.0
36,0.6675000190734863,0.7337625026702881,133.0,133.0,0.6548503041267395,0.6675000190734863,0.6675000190734863,267.0,267.0,0.6974999904632568,0.757960319519043,605.0,605.0,0.603374719619751,0.6974999904632568,0.6974999904632568,1395.0,1395.0
37,0.6800000071525574,0.7498718500137329,128.0,128.0,0.6235156655311584,0.6800000071525574,0.6800000071525574,272.0,272.0,0.7039999961853027,0.7695536613464355,592.0,592.0,0.5907426476478577,0.7039999961853027,0.7039999961853027,1408.0,1408.0
38,0.6974999904632568,0.7625343799591064,121.0,121.0,0.6098785400390625,0.6974999904632568,0.6974999904632568,279.0,279.0,0.7014999985694885,0.7690747380256653,597.0,597.0,0.5964290499687195,0.7014999985694885,0.7014999985694885,1403.0,1403.0
39,0.6974999904632568,0.7668687701225281,121.0,121.0,0.6212868094444275,0.6974999904632568,0.6974999904632568,279.0,279.0,0.6984999775886536,0.7681446075439453,603.0,603.0,0.5944581627845764,0.6984999775886536,0.6984999775886536,1397.0,1397.0
40,0.6200000047683716,0.6899968385696411,152.0,152.0,0.7131184339523315,0.6200000047683716,0.6200000047683716,248.0,248.0,0.7014999985694885,0.7673514485359192,597.0,597.0,0.5923888087272644,0.7014999985694885,0.7014999985694885,1403.0,1403.0
41,0.6725000143051147,0.7185313105583191,131.0,131.0,0.6571705341339111,0.6725000143051147,0.6725000143051147,269.0,269.0,0.6850000023841858,0.7606664299964905,630.0,630.0,0.5989615321159363,0.6850000023841858,0.6850000023841858,1370.0,1370.0
42,0.6575000286102295,0.7235094308853149,137.0,137.0,0.660103976726532,0.6575000286102295,0.6575000286102295,263.0,263.0,0.6934999823570251,0.7664118409156799,613.0,613.0,0.5960394740104675,0.6934999823570251,0.6934999823570251,1387.0,1387.0
43,0.6924999952316284,0.7647061944007874,123.0,123.0,0.5973415374755859,0.6924999952316284,0.6924999952316284,277.0,277.0,0.7070000171661377,0.7731286883354187,586.0,586.0,0.5861186385154724,0.7070000171661377,0.7070000171661377,1414.0,1414.0
44,0.6600000262260437,0.7077344059944153,136.0,136.0,0.6767163872718811,0.6600000262260437,0.6600000262260437,264.0,264.0,0.7105000019073486,0.7774091958999634,579.0,579.0,0.5799667239189148,0.7105000019073486,0.7105000019073486,1421.0,1421.0
45,0.6549999713897705,0.7209656238555908,138.0,138.0,0.6573696732521057,0.6549999713897705,0.6549999713897705,262.0,262.0,0.7059999704360962,0.7746548652648926,588.0,588.0,0.5828199982643127,0.7059999704360962,0.7059999704360962,1412.0,1412.0
46,0.6899999976158142,0.7615249752998352,124.0,124.0,0.6006134152412415,0.6899999976158142,0.6899999976158142,276.0,276.0,0.7045000195503235,0.7771983742713928,591.0,591.0,0.5817513465881348,0.7045000195503235,0.7045000195503235,1409.0,1409.0
47,0.7174999713897705,0.7733562588691711,113.0,113.0,0.5961433053016663,0.7174999713897705,0.7174999713897705,287.0,287.0,0.7024999856948853,0.7770525813102722,595.0,595.0,0.586006760597229,0.7024999856948853,0.7024999856948853,1405.0,1405.0
48,0.6575000286102295,0.7400593757629395,137.0,137.0,0.6314798593521118,0.6575000286102295,0.6575000286102295,263.0,263.0,0.7049999833106995,0.7743756771087646,590.0,590.0,0.5885410308837891,0.7049999833106995,0.7049999833106995,1410.0,1410.0
49,0.675000011920929,0.7431874871253967,130.0,130.0,0.642238974571228,0.675000011920929,0.675000011920929,270.0,270.0,0.7105000019073486,0.7752039432525635,579.0,579.0,0.5871006846427917,0.7105000019073486,0.7105000019073486,1421.0,1421.0
50,0.6800000071525574,0.7551718950271606,128.0,128.0,0.6073145866394043,0.6800000071525574,0.6800000071525574,272.0,272.0,0.7085000276565552,0.7756884694099426,583.0,583.0,0.5873905420303345,0.7085000276565552,0.7085000276565552,1417.0,1417.0
51,0.7149999737739563,0.7794437408447266,114.0,114.0,0.5907671451568604,0.7149999737739563,0.7149999737739563,286.0,286.0,0.7129999995231628,0.7764473557472229,574.0,574.0,0.5862618088722229,0.7129999995231628,0.7129999995231628,1426.0,1426.0
52,0.6499999761581421,0.7272781729698181,140.0,140.0,0.6454208493232727,0.6499999761581421,0.6499999761581421,260.0,260.0,0.7170000076293945,0.7778149843215942,566.0,566.0,0.5819043517112732,0.7170000076293945,0.7170000076293945,1434.0,1434.0
53,0.6675000190734863,0.7324250340461731,133.0,133.0,0.6319438219070435,0.6675000190734863,0.6675000190734863,267.0,267.0,0.7129999995231628,0.7776668071746826,574.0,574.0,0.5856267213821411,0.7129999995231628,0.7129999995231628,1426.0,1426.0
54,0.6549999713897705,0.7007812857627869,138.0,138.0,0.6882073283195496,0.6549999713897705,0.6549999713897705,262.0,262.0,0.7089999914169312,0.777703583240509,582.0,582.0,0.5877401828765869,0.7089999914169312,0.7089999914169312,1418.0,1418.0
