epoch,accuracy,loss,val_accuracy,val_loss
0,0.5720000267028809,1.4796427488327026,0.5,0.7029914259910583
1,0.6800000071525574,0.6668805480003357,0.5,0.7264854907989502
2,0.5600000023841858,0.7089492678642273,0.5,0.6921230554580688
3,0.5199999809265137,0.6928012371063232,0.5,0.6922752857208252
4,0.4399999976158142,0.6943629384040833,0.5070000290870667,0.6921199560165405
5,0.5320000052452087,0.8112248182296753,0.4950000047683716,0.6918961405754089
6,0.5559999942779541,0.6983783841133118,0.5,0.6926764845848083
7,0.47999998927116394,0.6940823197364807,0.5640000104904175,0.6912469863891602
8,0.6159999966621399,0.6905161142349243,0.5799999833106995,0.6865733861923218
9,0.5960000157356262,0.9091379642486572,0.5120000243186951,0.6901323199272156
10,0.5559999942779541,0.690048336982727,0.546999990940094,0.689724326133728
11,0.7120000123977661,0.8220493197441101,0.5,1.2746951580047607
12,0.41600000858306885,0.7720308899879456,0.5440000295639038,0.6879134774208069
13,0.47200000286102295,0.6876619458198547,0.5550000071525574,0.6858896613121033
14,0.5559999942779541,0.6857780814170837,0.574999988079071,0.682869553565979
15,0.6399999856948853,0.6757695078849792,0.5199999809265137,0.7037737369537354
16,0.5799999833106995,0.6869661808013916,0.5659999847412109,0.6868138909339905
17,0.5839999914169312,0.670764148235321,0.5809999704360962,0.6814218759536743
18,0.5600000023841858,0.6719725131988525,0.5960000157356262,0.6834725737571716
19,0.6039999723434448,0.6645962595939636,0.597000002861023,0.6786544322967529
20,0.6480000019073486,0.6752488613128662,0.5899999737739563,0.6731628775596619
21,0.6240000128746033,0.7004826068878174,0.5519999861717224,0.6899968981742859
22,0.6039999723434448,0.6761320233345032,0.5889999866485596,0.695848822593689
23,0.628000020980835,0.7084149122238159,0.5370000004768372,0.6845114231109619
24,0.6240000128746033,0.6682724952697754,0.5830000042915344,0.6748825907707214
