epoch,accuracy,loss,val_accuracy,val_loss
0,0.4440000057220459,1.0135235786437988,0.5,0.6925630569458008
1,0.6000000238418579,0.706698477268219,0.5,0.6954034566879272
2,0.5600000023841858,0.6885151267051697,0.5,0.6915945410728455
3,0.47999998927116394,0.6934892535209656,0.5,0.6918512582778931
4,0.5640000104904175,0.6896193623542786,0.5,0.689860999584198
5,0.48399999737739563,0.7146331071853638,0.5170000195503235,0.6919838190078735
6,0.5559999942779541,0.6904096007347107,0.5389999747276306,0.691560685634613
7,0.48399999737739563,0.7049480080604553,0.550000011920929,0.6912621259689331
8,0.7039999961853027,0.7518370747566223,0.5,0.7439806461334229
9,0.47600001096725464,0.7100826501846313,0.5049999952316284,0.6920402646064758
10,0.5199999809265137,0.7230861186981201,0.5740000009536743,0.6904893517494202
11,0.5479999780654907,0.7896159291267395,0.5130000114440918,0.6917383670806885
12,0.4959999918937683,0.6933180093765259,0.5329999923706055,0.6924078464508057
13,0.6079999804496765,0.6907984018325806,0.5189999938011169,0.6910167932510376
14,0.5400000214576721,0.6923421621322632,0.550000011920929,0.6890883445739746
15,0.6079999804496765,0.685466468334198,0.5809999704360962,0.6865265965461731
16,0.5839999914169312,0.6880151629447937,0.527999997138977,0.6826340556144714
17,0.6079999804496765,0.6781641840934753,0.5149999856948853,0.7024696469306946
18,0.6679999828338623,0.6616345047950745,0.5299999713897705,0.7129550576210022
19,0.5400000214576721,1.0458544492721558,0.5080000162124634,0.6918690204620361
20,0.3959999978542328,0.6936394572257996,0.5580000281333923,0.6913042664527893
21,0.6079999804496765,0.7025991678237915,0.5040000081062317,0.6941496133804321
22,0.5559999942779541,0.6933009624481201,0.5590000152587891,0.6891270875930786
23,0.5799999833106995,0.7142162919044495,0.5109999775886536,0.6921225786209106
24,0.5120000243186951,0.6878334283828735,0.5759999752044678,0.6907685995101929
