epoch,accuracy,auc,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_accuracy,val_auc,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.5149999856948853,0.5137794017791748,147.0,241.0,1.2825942039489746,0.5255905389785767,0.6449275612831116,145.0,267.0,0.5239999890327454,0.5850080251693726,87.0,389.0,0.6889687776565552,0.5149626135826111,0.8259999752044678,111.0,413.0
1,0.5112500190734863,0.5081254243850708,167.0,224.0,0.6993028521537781,0.5130434632301331,0.5856079459190369,173.0,236.0,0.5019999742507935,0.5943880081176758,3.0,495.0,0.6956050395965576,0.5010080933570862,0.9940000176429749,5.0,497.0
2,0.518750011920929,0.5189955830574036,183.0,202.0,0.7027755975723267,0.5302325487136841,0.55474454164505,187.0,228.0,0.6119999885559082,0.6246719360351562,201.0,187.0,0.6895458698272705,0.6152263283729553,0.5979999899864197,313.0,299.0
3,0.53125,0.516004741191864,186.0,189.0,0.6987724304199219,0.5263158082962036,0.5303030014038086,215.0,210.0,0.49900001287460327,0.5234079957008362,500.0,1.0,0.6968291401863098,0.0,0.0,499.0,0.0
4,0.5787500143051147,0.5652757883071899,180.0,157.0,0.6929752230644226,0.5779569745063782,0.5443037748336792,248.0,215.0,0.5860000252723694,0.6514919400215149,371.0,43.0,0.6788182854652405,0.75,0.257999986410141,457.0,129.0
5,0.5699999928474426,0.5869539380073547,202.0,142.0,0.6886110901832581,0.5603715181350708,0.4725848436355591,275.0,181.0,0.6200000047683716,0.6604580283164978,171.0,209.0,0.6594391465187073,0.6115241646766663,0.6579999923706055,291.0,329.0
6,0.6050000190734863,0.6152049899101257,141.0,175.0,0.690390944480896,0.6153846383094788,0.665083110332489,204.0,280.0,0.6209999918937683,0.6637420058250427,136.0,243.0,0.66426020860672,0.5996705293655396,0.7279999852180481,257.0,364.0
7,0.6037499904632568,0.6255625486373901,155.0,162.0,0.6742730736732483,0.5980148911476135,0.6085858345031738,242.0,241.0,0.6169999837875366,0.6991979479789734,93.0,290.0,0.6494477987289429,0.5839311480522156,0.8140000104904175,210.0,407.0
8,0.6449999809265137,0.6666854619979858,128.0,156.0,0.6644625067710876,0.6388888955116272,0.6831682920455933,240.0,276.0,0.621999979019165,0.6820700764656067,266.0,112.0,0.6530353426933289,0.676300585269928,0.46799999475479126,388.0,234.0
9,0.6299999952316284,0.6752762198448181,144.0,152.0,0.6472554802894592,0.6256157755851746,0.6381909251213074,250.0,254.0,0.652999997138977,0.7031879425048828,248.0,99.0,0.6395492553710938,0.7179487347602844,0.5040000081062317,401.0,252.0
10,0.6349999904632568,0.6774109601974487,179.0,113.0,0.6703842282295227,0.6389776468276978,0.5277044773101807,308.0,200.0,0.6309999823570251,0.710442066192627,267.0,102.0,0.6271111965179443,0.6955223679542542,0.4659999907016754,398.0,233.0
11,0.6324999928474426,0.6953218579292297,155.0,139.0,0.6309248208999634,0.6454081535339355,0.6200980544090271,253.0,253.0,0.6570000052452087,0.7236639857292175,195.0,148.0,0.611218273639679,0.6732891798019409,0.6100000143051147,352.0,305.0
12,0.6462500095367432,0.7027950286865234,149.0,134.0,0.6462189555168152,0.6510416865348816,0.6265664100646973,267.0,250.0,0.6549999713897705,0.7278499603271484,176.0,169.0,0.6127435564994812,0.657200813293457,0.6480000019073486,331.0,324.0
13,0.6262500286102295,0.673086404800415,153.0,146.0,0.6468822956085205,0.623711347579956,0.6126582026481628,259.0,242.0,0.6660000085830688,0.7196760773658752,186.0,148.0,0.6098571419715881,0.6796537041664124,0.628000020980835,352.0,314.0
14,0.6537500023841858,0.7159739136695862,153.0,124.0,0.6152420043945312,0.6584022045135498,0.6096938848495483,284.0,239.0,0.5440000295639038,0.6919839978218079,19.0,437.0,1.137386679649353,0.5239651203155518,0.9620000123977661,63.0,481.0
