epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.47600001096725464,0.49715277552604675,2.644099235534668,0.5,0.48853799700737,0.6933871507644653
1,0.6399999856948853,0.292638897895813,0.7421727776527405,0.5,0.437749981880188,0.710509181022644
2,0.36000001430511475,0.5224652290344238,0.7031623125076294,0.5019999742507935,0.5019999742507935,0.6931194067001343
3,0.5320000052452087,0.5019480586051941,0.6930123567581177,0.5249999761581421,0.4920140206813812,0.6931285262107849
4,0.5120000243186951,0.5536363124847412,0.6922041177749634,0.5019999742507935,0.5061860084533691,0.693280041217804
5,0.6399999856948853,0.5050694346427917,0.6827501058578491,0.5,0.4344100058078766,0.7178800106048584
6,0.4399999976158142,0.3665260076522827,0.7207884788513184,0.5289999842643738,0.5420060753822327,0.692840039730072
7,0.5600000023841858,0.3379869759082794,0.6959640979766846,0.5,0.5062040090560913,0.6933472156524658
8,0.5600000023841858,0.5591558218002319,0.6914699673652649,0.5009999871253967,0.5458379983901978,0.6929110288619995
9,0.5239999890327454,0.4701666235923767,0.6946361660957336,0.550000011920929,0.6448720097541809,0.688027560710907
10,0.6079999804496765,0.6260069012641907,0.6880714893341064,0.5009999871253967,0.5435140132904053,0.6923655271530151
11,0.46799999475479126,0.47425323724746704,0.6989699602127075,0.5350000262260437,0.6103580594062805,0.69155353307724
12,0.6200000047683716,0.6670833230018616,0.6876489520072937,0.5950000286102295,0.6318340301513672,0.6894459128379822
13,0.5479999780654907,0.5199679136276245,0.695487380027771,0.5730000138282776,0.6151860356330872,0.6897855997085571
14,0.5759999752044678,0.5562986731529236,0.6869954466819763,0.5389999747276306,0.6109179258346558,0.6898848414421082
15,0.6359999775886536,0.6887820363044739,0.6760128140449524,0.5910000205039978,0.6535859704017639,0.6731584072113037
16,0.5920000076293945,0.5820000171661377,0.6861878037452698,0.5789999961853027,0.641103982925415,0.6861283183097839
17,0.5720000267028809,0.5478000640869141,0.6855853796005249,0.5239999890327454,0.678536057472229,0.6820937395095825
18,0.5799999833106995,0.6613235473632812,0.6832789778709412,0.5009999871253967,0.5686639547348022,0.6927710175514221
19,0.6000000238418579,0.4558333456516266,0.7523766160011292,0.5379999876022339,0.6400379538536072,0.6860941052436829
20,0.5799999833106995,0.47425326704978943,0.6982214450836182,0.5730000138282776,0.6491219997406006,0.6861591339111328
21,0.6039999723434448,0.6373999714851379,0.68427973985672,0.5360000133514404,0.6200019717216492,0.6898910403251648
22,0.656000018119812,0.6389999985694885,0.6816466450691223,0.5669999718666077,0.6498019695281982,0.686910092830658
23,0.5799999833106995,0.5295454859733582,0.6828533411026001,0.5270000100135803,0.6605879664421082,0.6850758790969849
24,0.5799999833106995,0.6340063810348511,0.6704278588294983,0.6039999723434448,0.667806088924408,0.6656212210655212
