epoch,accuracy,auc,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_accuracy,val_auc,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.5362499952316284,0.5646255612373352,115.0,256.0,1.037479043006897,0.529411792755127,0.714640200138092,141.0,288.0,0.5799999833106995,0.6248920559883118,125.0,295.0,0.6723335981369019,0.5597015023231506,0.75,205.0,375.0
1,0.5612499713897705,0.5748986601829529,208.0,143.0,0.6938538551330566,0.5572755336761475,0.4639175236225128,269.0,180.0,0.6480000019073486,0.6899880170822144,192.0,160.0,0.6682626008987427,0.6581196784973145,0.6159999966621399,340.0,308.0
2,0.5450000166893005,0.5705633163452148,207.0,157.0,0.682342529296875,0.5768194198608398,0.5083135366439819,222.0,214.0,0.6309999823570251,0.6844779253005981,202.0,167.0,0.6630197763442993,0.6408601999282837,0.5960000157356262,333.0,298.0
3,0.6225000023841858,0.6439144015312195,168.0,134.0,0.6703360676765442,0.6298342347145081,0.5757575631141663,270.0,228.0,0.6320000290870667,0.6778140068054199,203.0,165.0,0.6505605578422546,0.6428571343421936,0.593999981880188,335.0,297.0
4,0.6337500214576721,0.6460520625114441,158.0,135.0,0.690706729888916,0.6239554286003113,0.5863874554634094,283.0,224.0,0.5839999914169312,0.6792199611663818,93.0,323.0,0.6656914353370667,0.5575342178344727,0.8140000104904175,177.0,407.0
5,0.5987499952316284,0.6239652037620544,168.0,153.0,0.6828809976577759,0.6106870174407959,0.5882353186607361,239.0,240.0,0.6389999985694885,0.7147120237350464,288.0,73.0,0.6388378143310547,0.7438596487045288,0.42399999499320984,427.0,212.0
6,0.6175000071525574,0.6620916128158569,150.0,156.0,0.6579717993736267,0.6176470518112183,0.6268656849861145,242.0,252.0,0.6340000033378601,0.7086439728736877,280.0,86.0,0.6324137449264526,0.7189542651176453,0.4399999976158142,414.0,220.0
7,0.6237499713897705,0.6678877472877502,170.0,131.0,0.6695332527160645,0.6309859156608582,0.5685279369354248,275.0,224.0,0.6549999713897705,0.7151119112968445,228.0,117.0,0.6298710107803345,0.6992287635803223,0.5440000295639038,383.0,272.0
8,0.6512500047683716,0.7064878940582275,118.0,161.0,0.6486053466796875,0.6559829115867615,0.722352921962738,214.0,307.0,0.6439999938011169,0.7241780161857605,135.0,221.0,0.6111665368080139,0.6228668689727783,0.7300000190734863,279.0,365.0
9,0.637499988079071,0.6814239025115967,152.0,138.0,0.6383727788925171,0.6280323266983032,0.6051948070526123,277.0,233.0,0.6330000162124634,0.6907719969749451,102.0,265.0,0.6500437259674072,0.6003016829490662,0.7960000038146973,235.0,398.0
10,0.6274999976158142,0.6629540920257568,150.0,148.0,0.6688993573188782,0.6262626051902771,0.623115599155426,254.0,248.0,0.6819999814033508,0.7493540048599243,130.0,188.0,0.6087453365325928,0.6630824208259583,0.7400000095367432,312.0,370.0
11,0.6512500047683716,0.6945986151695251,132.0,147.0,0.6414594054222107,0.6474820375442505,0.6716417670249939,251.0,270.0,0.671999990940094,0.7250160574913025,141.0,187.0,0.6244611740112305,0.6575091481208801,0.7179999947547913,313.0,359.0
12,0.6512500047683716,0.7049131393432617,143.0,136.0,0.6216506958007812,0.6458333134651184,0.6342710852622986,273.0,248.0,0.6930000185966492,0.7680180072784424,171.0,136.0,0.5836759805679321,0.7075268626213074,0.6579999923706055,364.0,329.0
13,0.6274999976158142,0.6844078302383423,136.0,162.0,0.6356743574142456,0.6383928656578064,0.6777251362800598,216.0,286.0,0.6159999966621399,0.7329180240631104,63.0,321.0,0.6602193713188171,0.5765171647071838,0.8740000128746033,179.0,437.0
14,0.65625,0.7263400554656982,138.0,137.0,0.6094103455543518,0.6583541035652161,0.6567164063453674,261.0,264.0,0.628000020980835,0.7137159705162048,108.0,264.0,0.6271464228630066,0.5975610017776489,0.7839999794960022,236.0,392.0
15,0.6549999713897705,0.7044537663459778,161.0,115.0,0.6223433613777161,0.670487105846405,0.5924050807952881,290.0,234.0,0.6769999861717224,0.765593945980072,248.0,75.0,0.5905013680458069,0.7706422209739685,0.5040000081062317,425.0,252.0
16,0.6625000238418579,0.7387669086456299,150.0,120.0,0.6030359864234924,0.6915166974067688,0.6420047879219055,261.0,269.0,0.7099999785423279,0.7705339789390564,133.0,157.0,0.5873767137527466,0.7003816962242126,0.734000027179718,343.0,367.0
17,0.6725000143051147,0.7448707222938538,134.0,128.0,0.6037082076072693,0.6701030731201172,0.6598984599113464,278.0,260.0,0.7009999752044678,0.7772340178489685,135.0,164.0,0.5736476182937622,0.6899811029434204,0.7300000190734863,336.0,365.0
