epoch,accuracy,auc,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_accuracy,val_auc,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.5049999952316284,0.48647773265838623,109.0,287.0,1.1016473770141602,0.5348460078239441,0.751708447933197,74.0,330.0,0.5879999995231628,0.6382139921188354,122.0,290.0,0.6876925230026245,0.5658682584762573,0.7559999823570251,210.0,378.0
1,0.53125,0.5383278727531433,203.0,172.0,0.6989612579345703,0.5401069521903992,0.4987654387950897,223.0,202.0,0.5839999914169312,0.6049219965934753,327.0,89.0,0.6894927024841309,0.6603053212165833,0.34599998593330383,411.0,173.0
2,0.5487499833106995,0.5719785690307617,200.0,161.0,0.7093017101287842,0.5552486181259155,0.5012468695640564,238.0,201.0,0.6000000238418579,0.6370060443878174,237.0,163.0,0.6796044707298279,0.6173709034919739,0.5260000228881836,337.0,263.0
3,0.5462499856948853,0.5668540000915527,139.0,224.0,0.6896964907646179,0.5555555820465088,0.6682577729225159,157.0,280.0,0.5680000185966492,0.6128739714622498,342.0,90.0,0.6818726062774658,0.6370967626571655,0.3160000145435333,410.0,158.0
4,0.5862500071525574,0.6051729321479797,149.0,182.0,0.6827594637870789,0.59375,0.6409638524055481,203.0,266.0,0.5090000033378601,0.5213540196418762,491.0,0.0,0.7340751886367798,1.0,0.017999999225139618,500.0,9.0
5,0.5862500071525574,0.6192746162414551,161.0,170.0,0.6744889616966248,0.5952380895614624,0.6082724928855896,219.0,250.0,0.6169999837875366,0.6696839928627014,152.0,231.0,0.6535627841949463,0.6010362505912781,0.6959999799728394,269.0,348.0
6,0.6050000190734863,0.6268383264541626,146.0,170.0,0.673143208026886,0.601873517036438,0.6377171277999878,227.0,257.0,0.6150000095367432,0.6867539882659912,110.0,275.0,0.6550177931785583,0.5864661931991577,0.7799999713897705,225.0,390.0
7,0.6200000047683716,0.6519085764884949,141.0,163.0,0.6623027324676514,0.6244239807128906,0.6577669978141785,225.0,271.0,0.6430000066757202,0.7095420360565186,119.0,238.0,0.6271900534629822,0.6155089139938354,0.7620000243186951,262.0,381.0
8,0.625,0.6700376272201538,153.0,147.0,0.6499555706977844,0.6297228932380676,0.6203473806381226,250.0,250.0,0.6290000081062317,0.6760419607162476,213.0,158.0,0.6380541324615479,0.6449438333511353,0.5740000009536743,342.0,287.0
9,0.6499999761581421,0.684853732585907,164.0,116.0,0.664564311504364,0.6557863354682922,0.5740259885787964,299.0,221.0,0.640999972820282,0.7139300107955933,100.0,259.0,0.6283996105194092,0.6069802641868591,0.800000011920929,241.0,400.0
10,0.6337500214576721,0.6768734455108643,148.0,145.0,0.649162769317627,0.6522781848907471,0.6476190686225891,235.0,272.0,0.6209999918937683,0.6941680312156677,148.0,231.0,0.6326479911804199,0.6037735939025879,0.7039999961853027,269.0,352.0
11,0.6424999833106995,0.6866967678070068,163.0,123.0,0.6520737409591675,0.6620879173278809,0.5965346693992615,273.0,241.0,0.6520000100135803,0.7206279635429382,153.0,195.0,0.6182243227958679,0.6402214169502258,0.6940000057220459,305.0,347.0
12,0.6575000286102295,0.6910669803619385,147.0,127.0,0.6413130760192871,0.6684073209762573,0.6352357268333435,270.0,256.0,0.6470000147819519,0.7537360191345215,297.0,56.0,0.6071512699127197,0.7837837934494019,0.4059999883174896,444.0,203.0
13,0.643750011920929,0.7049632668495178,160.0,125.0,0.6288864016532898,0.6527777910232544,0.594936728477478,280.0,235.0,0.6740000247955322,0.7334780097007751,186.0,140.0,0.6121575236320496,0.691629946231842,0.628000020980835,360.0,314.0
14,0.6612499952316284,0.7172539830207825,145.0,126.0,0.6300786733627319,0.6752577424049377,0.6437346339225769,267.0,262.0,0.671999990940094,0.7493579983711243,93.0,235.0,0.6094470024108887,0.6339563727378845,0.8140000104904175,265.0,407.0
15,0.6412500143051147,0.6955884099006653,184.0,103.0,0.6275375485420227,0.6268116235733032,0.48459383845329285,340.0,173.0,0.6650000214576721,0.748852014541626,224.0,111.0,0.5969207882881165,0.713178277015686,0.5519999861717224,389.0,276.0
16,0.6449999809265137,0.7141678929328918,163.0,121.0,0.6233785152435303,0.6601123809814453,0.590452253818512,281.0,235.0,0.6859999895095825,0.741286039352417,180.0,134.0,0.6079738140106201,0.7048457860946655,0.6399999856948853,366.0,320.0
17,0.6662499904632568,0.7258573174476624,119.0,148.0,0.616361677646637,0.6651583909988403,0.7118644118309021,239.0,294.0,0.625,0.6949580311775208,243.0,132.0,0.6295309066772461,0.6606683731079102,0.5139999985694885,368.0,257.0
18,0.6449999809265137,0.7210482358932495,159.0,125.0,0.6136289834976196,0.6575342416763306,0.6015037298202515,276.0,240.0,0.6919999718666077,0.7685779929161072,123.0,185.0,0.5783378481864929,0.6708185076713562,0.7540000081062317,315.0,377.0
19,0.6712499856948853,0.7354986071586609,143.0,120.0,0.6098597049713135,0.6782841682434082,0.6388888955116272,284.0,253.0,0.6909999847412109,0.7617179751396179,209.0,100.0,0.5943058729171753,0.7442455291748047,0.5820000171661377,400.0,291.0
20,0.6825000047683716,0.7358554601669312,144.0,110.0,0.620307981967926,0.6857143044471741,0.625,306.0,240.0,0.6629999876022339,0.7728320360183716,285.0,52.0,0.5927131175994873,0.8052434325218201,0.4300000071525574,448.0,215.0
21,0.6612499952316284,0.7328395247459412,155.0,116.0,0.612267255783081,0.6741573214530945,0.607594907283783,289.0,240.0,0.6579999923706055,0.7341399788856506,144.0,198.0,0.6085236668586731,0.6425992846488953,0.7120000123977661,302.0,356.0
22,0.6775000095367432,0.7425764799118042,138.0,120.0,0.6070324182510376,0.6808510422706604,0.6497461795806885,286.0,256.0,0.6669999957084656,0.7734180092811584,56.0,277.0,0.6077276468276978,0.6158113479614258,0.8880000114440918,223.0,444.0
23,0.6725000143051147,0.7334007024765015,118.0,144.0,0.6136062145233154,0.6712328791618347,0.7135922312736511,244.0,294.0,0.6959999799728394,0.7701640129089355,218.0,86.0,0.5804610252380371,0.7663043737411499,0.5640000104904175,414.0,282.0
24,0.6862499713897705,0.7526897192001343,124.0,127.0,0.5958842635154724,0.6961722373962402,0.7012048363685608,258.0,291.0,0.6439999938011169,0.7808599472045898,320.0,36.0,0.7043322920799255,0.8333333134651184,0.36000001430511475,464.0,180.0
25,0.6675000190734863,0.738381028175354,137.0,129.0,0.6092430353164673,0.6666666865348816,0.6531645655632019,276.0,258.0,0.699999988079071,0.7734139561653137,183.0,117.0,0.5753422379493713,0.7304147481918335,0.6340000033378601,383.0,317.0
26,0.7087500095367432,0.7765744924545288,116.0,117.0,0.567965030670166,0.7118226885795593,0.7135802507400513,278.0,289.0,0.722000002861023,0.7826039791107178,190.0,88.0,0.5932660102844238,0.7788944840431213,0.6200000047683716,412.0,310.0
27,0.6812499761581421,0.7500690221786499,124.0,131.0,0.5942361354827881,0.6974595785140991,0.7089201807975769,243.0,302.0,0.6589999794960022,0.7919159531593323,44.0,297.0,0.5956624746322632,0.6055777072906494,0.9120000004768372,203.0,456.0
28,0.6937500238418579,0.7584863901138306,114.0,131.0,0.5858767032623291,0.688095211982727,0.7171216011047363,266.0,289.0,0.6639999747276306,0.773997962474823,63.0,273.0,0.6363825798034668,0.6154929399490356,0.8740000128746033,227.0,437.0
29,0.6924999952316284,0.7724359035491943,132.0,114.0,0.5716092586517334,0.6935483813285828,0.6615384817123413,296.0,258.0,0.722000002861023,0.7936300039291382,103.0,175.0,0.5810781121253967,0.6940559148788452,0.7940000295639038,325.0,397.0
